user_id,pred,song_id,artist,title,bpm,youtube_link,kor_title
16509,2.054616,sQm8V5cfws6ntAkoDYvodzOKZGtLxp+iI1D0WnAePC4=,Apink,Secret Garden,96,"https://www.youtube.com/watch?v=7d_cdW-k6pE,96",에이핑크 - Secret Garden
16509,2.0092,Wy9UK7tKl+4seLQ7EXuf+yqnLAO+PkaNo+VFj38B7hQ=,Jannabi,Goodnight,146,https://www.youtube.com/watch?v=1Xr5IhcE2pE,잔나비 - Goodnight (Intro)
16509,1.9660138,LdKsk0R7k93pvwEvMUEwC3yuT6tBvgxOFf0lI7WJQ5A=,BEAST,I'm Sorry,90,https://www.youtube.com/watch?v=ZpRlIVImgnM,비스트 - I'm sorry
16509,1.7742676,yuNOstkTckSX4mboi7T5eQIfSm84fR4qh/PmIi+ruZ0=,INFINITE,Follow Me,140,https://youtu.be/mb1J6xz1ME0,인피니트 - Follow Me
16509,1.7586691,6TTDoeQ6nUg7tsnaYURLeM4Op2Wk16MckjnY/7S63cQ=,K.Will,눈물이 뚝뚝 (Dropping the Tears),72,https://www.youtube.com/watch?v=DIjGzZgu_yY,K.Will - 눈물이 뚝뚝
16509,1.7487105,kNqY3MfcPCvxGg0hQkofvUIo9T4cppUQT0hYPS4PzjA=,Park Hyo Shin,It`s You,129,https://www.youtube.com/watch?v=xXlS6-V5ec0,박효신 - It's You
16509,1.716185,8WgjNesSPLmz9PmBevHerpwSPyy86/pp0MaB2j2RWJM=,SHINee,One,128,https://www.youtube.com/watch?v=et9u7hPESCo,샤이니 - One
16509,1.711172,Q0NmdYadyjni+CmtqwcrT/ZwgVcPefqdO1Y3isZ3Pao=,SHINee,WOWOWOW,92,"https://www.youtube.com/watch?v=grPy2KJYZ9M,92",샤이니 - Wowowow
16509,1.700172,2hZ2rmtKetgI1lISs4c2RKBt6ARvNMLBf7RJCDCdDdc=,DICKPUNKS,Don't Wanna Lose Now,155,https://www.youtube.com/watch?v=WmLGy3ebLnM,DICKPUNKS - 지금을 잃고 싶지 않아
16509,1.618891,ciemVXvjgBStz/ryybYpFQVRwojaFW/4lw4nUGo+WBs=,Flower,Even though I know love...,72,https://www.youtube.com/watch?v=xc3iDjbYSG8,Flower - 사랑은 알아도...
16509,1.5973058,M/6x4FmtWzCrS+QCKHNkTDEjk6BWvFIzdCTP4VwkK8g=,MBLAQ,유령 (같이 사랑했잖아),100,https://www.youtube.com/watch?v=3uWlDF40QMc,MBLAQ - 유령(같이 사랑했잖아)
16509,1.5848515,8bFEtA9qRStJ8Kte5ROkpablwp8Wy/BqxioUIqom2SQ=,Jang Na Ra (장나라),오월의 눈사람,140,https://www.youtube.com/watch?v=3art4Cu-yqg,장나라 - 오월의 눈사람
16509,1.5180037,EUOxoMQKvfCe0ZZKv7d6IDsufcVAw7yaP7zUs7UEgLw=,VAV,Under The Moonlight (달빛 아래서),95,https://www.youtube.com/watch?v=6HXnodVJhSI&list=OLAK5uy_kMSFXWnI5_OujCI0ON4-16F8ymMhufnY0&index=1,VAV - 달빛 아래서
16509,1.5027531,xVwqf8He/ZCuzCLKKRP992RFdQQbBiPzfnwHXnSMa6E=,Marriage over Love OST,Love Knots,124,https://www.youtube.com/watch?v=lk5QWPq1K6E,연애말고 결혼 OST - Love Knots
16509,1.4419216,h1l44Z8rdbmQGKQyKUKvcE1aR32o0O7gZhOWluY19rc=,VIXX,Love Me Do,146,https://www.youtube.com/watch?v=jqCIlPQ-sI8,VIXX - Love Me Do
16509,1.4220918,hmXPQ+wCzm6ak8DPqQ/tP5QdTvPICixTNpt9nX9a2Yo=,N (VIXX)| YEOEUN (MelodyDay),Without You,128,https://www.youtube.com/watch?v=FMIqLQR0CYI,N(엔) (VIXX) X 여은 (MelodyDay) - 니가 없는 난
16509,1.3936435,cjccoqS6Ru48QVQjG1mAMadgVJd9RQGSTNFpsk4PDGE=,4MINUTE,Femme Fatale,117,https://www.youtube.com/watch?v=r39Sufgf7Pc,4MINUTE - 팜므파탈
16509,1.3933192,Y46ZwcQtP6+yjsvu6e+0i+ERz6mP+/1kYP/lUoa0stI=,AMBER,Borders,87,https://youtu.be/bNT-zFJKifI,엠버 - Borders
16510,2.2008,Wy9UK7tKl+4seLQ7EXuf+yqnLAO+PkaNo+VFj38B7hQ=,Jannabi,Goodnight,146,https://www.youtube.com/watch?v=1Xr5IhcE2pE,잔나비 - Goodnight (Intro)
