user_id,pred,song_id,artist,title
16509,2.054616,sQm8V5cfws6ntAkoDYvodzOKZGtLxp+iI1D0WnAePC4=,Apink,Secret Garden
16509,2.0092,Wy9UK7tKl+4seLQ7EXuf+yqnLAO+PkaNo+VFj38B7hQ=,Jannabi,Goodnight
16509,1.9660138,LdKsk0R7k93pvwEvMUEwC3yuT6tBvgxOFf0lI7WJQ5A=,BEAST,I'm Sorry
16509,1.9267706,J93IqmE/NQ2Olc5/+YB9TeS1B29n7TgG5hb5T4hMAyg=,SHINee,3 2 1
16509,1.7742676,yuNOstkTckSX4mboi7T5eQIfSm84fR4qh/PmIi+ruZ0=,INFINITE,Follow Me
16509,1.7586691,6TTDoeQ6nUg7tsnaYURLeM4Op2Wk16MckjnY/7S63cQ=,K.Will,눈물이 뚝뚝 (Dropping the Tears)
16509,1.7487105,kNqY3MfcPCvxGg0hQkofvUIo9T4cppUQT0hYPS4PzjA=,Park Hyo Shin,It`s You
16509,1.716185,8WgjNesSPLmz9PmBevHerpwSPyy86/pp0MaB2j2RWJM=,SHINee,One
16509,1.711172,Q0NmdYadyjni+CmtqwcrT/ZwgVcPefqdO1Y3isZ3Pao=,SHINee,WOWOWOW
16509,1.700172,2hZ2rmtKetgI1lISs4c2RKBt6ARvNMLBf7RJCDCdDdc=,DICKPUNKS,Don't Wanna Lose Now
16509,1.618891,ciemVXvjgBStz/ryybYpFQVRwojaFW/4lw4nUGo+WBs=,Flower,Even though I know love...
16509,1.6146874,xpSUSo5XgcfNbh4ChYxaJ+lb8/JwDgDhSZorr+grqt0=,Kim Greem,It might be you
16509,1.5973058,M/6x4FmtWzCrS+QCKHNkTDEjk6BWvFIzdCTP4VwkK8g=,MBLAQ,유령 (같이 사랑했잖아)
16509,1.5848515,8bFEtA9qRStJ8Kte5ROkpablwp8Wy/BqxioUIqom2SQ=,Jang Na Ra (장나라),오월의 눈사람
16509,1.5180037,EUOxoMQKvfCe0ZZKv7d6IDsufcVAw7yaP7zUs7UEgLw=,VAV,Under The Moonlight (달빛 아래서)
16509,1.5027531,xVwqf8He/ZCuzCLKKRP992RFdQQbBiPzfnwHXnSMa6E=,Marriage over Love OST,Love Knots
16509,1.4419216,h1l44Z8rdbmQGKQyKUKvcE1aR32o0O7gZhOWluY19rc=,VIXX,Love Me Do
16509,1.4220918,hmXPQ+wCzm6ak8DPqQ/tP5QdTvPICixTNpt9nX9a2Yo=,N (VIXX)| YEOEUN (MelodyDay),Without You
16509,1.3936435,cjccoqS6Ru48QVQjG1mAMadgVJd9RQGSTNFpsk4PDGE=,4MINUTE,Femme Fatale
16509,1.3933192,Y46ZwcQtP6+yjsvu6e+0i+ERz6mP+/1kYP/lUoa0stI=,AMBER,Borders
16510,2.2008,Wy9UK7tKl+4seLQ7EXuf+yqnLAO+PkaNo+VFj38B7hQ=,Jannabi,Goodnight
16510,2.0702932,8WgjNesSPLmz9PmBevHerpwSPyy86/pp0MaB2j2RWJM=,SHINee,One
16510,2.049459,Wa0twiHiTDvFB541MGrTimE6674WdAyGPZss8o6rGoU=,IU,미운 오리
16510,2.0248291,B3Mu9ADOcr836tzpCiWHHECG+Ke6XscEt/MHPHEdhBI=,Groove Edition,Love Is All the Same (사랑은 다 그런거래요) [Originally Performed By Yangpa| Davichi & Hanna]
16510,2.0002658,Q0NmdYadyjni+CmtqwcrT/ZwgVcPefqdO1Y3isZ3Pao=,SHINee,WOWOWOW
16510,1.9573401,vzvWYAnYP3vAaH/ahhi7isQT2WlR0GheGCQKZ5fFKDM=,Various Artists,The room of secret
16510,1.9379839,i5usui2w8AFj/e5AX+a8KBqWwq6XyMQYqfihIfbRcg8=,f(x),All Mine
16510,1.9114133,zlv+BAozAQ8eEQSJdQYsZBP+DmDb5SiamvCM+j6E0Ww=,Various Artists,1-01 재회의 테마 Reunion Theme
16510,1.8664863,Jm/ICruNuLo+cH8BxcHkqK3bmlTWobOqsJtVEcKn6K8=,SHINee,Love Like Oxygen
16510,1.8649905,8bFEtA9qRStJ8Kte5ROkpablwp8Wy/BqxioUIqom2SQ=,Jang Na Ra (장나라),오월의 눈사람
16510,1.8620192,J93IqmE/NQ2Olc5/+YB9TeS1B29n7TgG5hb5T4hMAyg=,SHINee,3 2 1
16510,1.815476,5Nb5Bi9SeJ5pu3pfpy1MOkf2NF/b/lIdGAIF4qyvwAU=,Red Velvet,Light Me Up
16510,1.8083361,sQm8V5cfws6ntAkoDYvodzOKZGtLxp+iI1D0WnAePC4=,Apink,Secret Garden
16510,1.7971646,Y46ZwcQtP6+yjsvu6e+0i+ERz6mP+/1kYP/lUoa0stI=,AMBER,Borders
16510,1.770304,M/6x4FmtWzCrS+QCKHNkTDEjk6BWvFIzdCTP4VwkK8g=,MBLAQ,유령 (같이 사랑했잖아)
16510,1.7429229,Xa6VJ86WxV5nAbQ4mGvfzwZZ/rvHdouOF2q5vLVtsPU=,Various Artists,With U
