user_id,song_id,artist,title,bpm,youtube_link,kor_title,level
16509,sQm8V5cfws6ntAkoDYvodzOKZGtLxp+iI1D0WnAePC4=,Apink,Secret Garden,96.0,"https://www.youtube.com/watch?v=7d_cdW-k6pE",에이핑크 - Secret Garden,easy
16509,SP5vL37fCsOdXHv670eaJE/In8VMCiS1BW0cmyjTOg4=,NU'EST,Love Paint (every afternoon),147.0,https://www.youtube.com/watch?v=QTQhNI9NNQw,NU'EST - Love Paint,hard
16509,Q0NmdYadyjni+CmtqwcrT/ZwgVcPefqdO1Y3isZ3Pao=,SHINee,WOWOWOW,92.0,"https://www.youtube.com/watch?v=grPy2KJYZ9M",샤이니 - Wowowow,easy
16509,8WgjNesSPLmz9PmBevHerpwSPyy86/pp0MaB2j2RWJM=,SHINee,One,128.0,https://www.youtube.com/watch?v=et9u7hPESCo,샤이니 - One,hard
16509,kNqY3MfcPCvxGg0hQkofvUIo9T4cppUQT0hYPS4PzjA=,Park Hyo Shin,It`s You,129.0,https://www.youtube.com/watch?v=xXlS6-V5ec0,박효신 - It's You,hard
16509,g6qhn2sV11j5GbD5C95hshIhK4T/rUvroz6+R5ff2gE=,GFRIEND,시간을 달려서 (Rough),112.0,https://www.youtube.com/watch?v=u5HbBIcJFmM,여자친구 - 시간을 달려서,norm
16509,yuNOstkTckSX4mboi7T5eQIfSm84fR4qh/PmIi+ruZ0=,INFINITE,Follow Me,140.0,https://youtu.be/mb1J6xz1ME0,인피니트 - Follow Me,hard
16509,LdKsk0R7k93pvwEvMUEwC3yuT6tBvgxOFf0lI7WJQ5A=,BEAST,I'm Sorry,90.0,https://www.youtube.com/watch?v=ZpRlIVImgnM,비스트 - I'm sorry,easy
16509,6TTDoeQ6nUg7tsnaYURLeM4Op2Wk16MckjnY/7S63cQ=,K.Will,눈물이 뚝뚝 (Dropping the Tears),72.0,https://www.youtube.com/watch?v=DIjGzZgu_yY,K.Will - 눈물이 뚝뚝,easy
16509,Wy9UK7tKl+4seLQ7EXuf+yqnLAO+PkaNo+VFj38B7hQ=,Jannabi,Goodnight,146.0,https://www.youtube.com/watch?v=1Xr5IhcE2pE,잔나비 - Goodnight (Intro),hard
16510,Wy9UK7tKl+4seLQ7EXuf+yqnLAO+PkaNo+VFj38B7hQ=,Jannabi,Goodnight,146.0,https://www.youtube.com/watch?v=1Xr5IhcE2pE,잔나비 - Goodnight (Intro),hard
16510,8WgjNesSPLmz9PmBevHerpwSPyy86/pp0MaB2j2RWJM=,SHINee,One,128.0,https://www.youtube.com/watch?v=et9u7hPESCo,샤이니 - One,hard
16510,Wa0twiHiTDvFB541MGrTimE6674WdAyGPZss8o6rGoU=,IU,미운 오리,90.0,https://www.youtube.com/watch?v=NK3y5QJ1rp8,IU - 미운 오리,easy
16510,B3Mu9ADOcr836tzpCiWHHECG+Ke6XscEt/MHPHEdhBI=,Groove Edition,Love Is All the Same (사랑은 다 그런거래요) [Originally Performed By Yangpa| Davichi & Hanna],174.0,https://www.youtube.com/watch?v=bGKjOoAirdo,양파&다비치&HANNA -  사랑이 다 그런거래요,hard
16510,Q0NmdYadyjni+CmtqwcrT/ZwgVcPefqdO1Y3isZ3Pao=,SHINee,WOWOWOW,92.0,"https://www.youtube.com/watch?v=grPy2KJYZ9M",샤이니 - Wowowow,easy
16510,vzvWYAnYP3vAaH/ahhi7isQT2WlR0GheGCQKZ5fFKDM=,Various Artists,The room of secret,136.0,https://www.youtube.com/watch?v=GrtKiJt_xJg,바람이 분다OST - 비밀의 방,hard
16510,i5usui2w8AFj/e5AX+a8KBqWwq6XyMQYqfihIfbRcg8=,f(x),All Mine,128.0,https://www.youtube.com/watch?v=f4_3dWqu6kM,f(x) - All Mine,hard
